GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1401;4;0.53;CONSTITUTIVE;
GP1402;4;0.53;CONSTITUTIVE;
GP1403;4;0.53;CONSTITUTIVE;
GP1404;6;0.8;CONSTITUTIVE;
GP1405;0;0.0;CONSTITUTIVE;
GP1406;2;0.27;CONSTITUTIVE;
GP1407;0;0.0;CONSTITUTIVE;
NA;1;0.13;CONSTITUTIVE;
