GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1401;2;0.27;CONSTITUTIVE;
GP1402;2;0.27;CONSTITUTIVE;
GP1403;0;0.0;CONSTITUTIVE;
GP1404;0;0.0;CONSTITUTIVE;
GP1405;2;0.27;CONSTITUTIVE;
GP1406;0;0.0;CONSTITUTIVE;
GP1407;0;0.0;CONSTITUTIVE;
NA;0;0.0;CONSTITUTIVE;
