GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;1;0.13;CONSTITUTIVE;
SD;2;0.27;CONSTITUTIVE;
ALDE;2;0.27;CONSTITUTIVE;
GUENGL;1;0.13;CONSTITUTIVE;
GREENSEFA;2;0.27;CONSTITUTIVE;
