GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;4;0.53;CONSTITUTIVE;
SD;2;0.27;CONSTITUTIVE;
ECR;1;0.13;CONSTITUTIVE;
ALDE;2;0.27;CONSTITUTIVE;
GREENSEFA;2;0.27;CONSTITUTIVE;
