GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
SD;2;0.27;CONSTITUTIVE;
ALDE;3;0.4;CONSTITUTIVE;
ENF;1;0.13;CONSTITUTIVE;
