GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.8;CONSTITUTIVE;
SD;5;0.67;CONSTITUTIVE;
ECR;3;0.4;CONSTITUTIVE;
ALDE;3;0.4;CONSTITUTIVE;
GUENGL;1;0.13;CONSTITUTIVE;
GREENSEFA;2;0.27;CONSTITUTIVE;
