GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;7;0.93;CONSTITUTIVE;
SD;5;0.67;CONSTITUTIVE;
ALDE;1;0.13;CONSTITUTIVE;
GREENSEFA;2;0.27;CONSTITUTIVE;
ENF;3;0.4;CONSTITUTIVE;
