GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;7;0.93;CONSTITUTIVE;
SD;9;1.2;CONSTITUTIVE;
GUENGL;4;0.53;CONSTITUTIVE;
GREENSEFA;1;0.13;CONSTITUTIVE;
