GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;2;0.27;CONSTITUTIVE;
SD;1;0.13;CONSTITUTIVE;
ECR;3;0.4;CONSTITUTIVE;
ALDE;2;0.27;CONSTITUTIVE;
GREENSEFA;1;0.13;CONSTITUTIVE;
ENF;3;0.4;CONSTITUTIVE;
