GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;6;0.8;CONSTITUTIVE;
SD;6;0.8;CONSTITUTIVE;
ECR;4;0.53;CONSTITUTIVE;
ALDE;6;0.8;CONSTITUTIVE;
GUENGL;1;0.13;CONSTITUTIVE;
GREENSEFA;3;0.4;CONSTITUTIVE;
